2.655279521168528098e-02,7.473287901042051200e-03
2.695730761313310485e-03,6.179529092867907820e-04
6.093175941987136234e-04,5.971408960787137447e-04
5.949389647148317162e-04,5.826872217972750177e-04
5.753771909891549014e-04,5.587058018414349904e-04
5.502083912203580311e-04,5.357356522713132077e-04
5.262676484743017847e-04,5.109845378728389590e-04
5.010739227172449420e-04,4.841313729298126313e-04
4.726988225745485349e-04,4.586092663110158960e-04
4.430046020680851004e-04,4.225791893663233701e-04
4.075046781440344102e-04,3.870051559964739294e-04
3.706443769978806104e-04,3.511696899128638428e-04
3.335338106522924245e-04,3.123095750409433371e-04
2.950037410406212892e-04,2.741900383617212455e-04
2.564132108742314740e-04,2.352854056781101448e-04
2.184469250928312389e-04,1.978182959828143981e-04
1.809731515123904873e-04,1.629747478643764672e-04
1.460039399451954802e-04,1.310548144257048773e-04
1.145284698480231032e-04,9.849906563728470386e-05
8.704333834166256168e-05,7.736610384422566255e-05
6.495833424177691246e-05,5.533740357068322167e-05
4.870369907172058003e-05,4.148269201475891202e-05
3.781597324619315978e-05,3.314701070372686522e-05
3.123431729968809682e-05,2.839246395968079243e-05
2.739600794174802141e-05,2.593662416995217419e-05
2.521041446984025492e-05,2.411495310883117064e-05
2.399452370792165497e-05,2.311628875976448245e-05
2.291067757553707262e-05,2.215977081703852000e-05
2.203721107680553897e-05,2.149943972958791535e-05
2.114734731117414335e-05,2.054223291163196120e-05
2.019658093022815845e-05,1.944320377932429660e-05
1.931040635182382898e-05,1.875093845191901058e-05
1.833924054590353736e-05,1.771943657338719371e-05
1.742568357056739538e-05,1.676956612722725214e-05
1.664057005768232282e-05,1.599874679995384535e-05
1.572450982872731462e-05,1.511797467092901277e-05
1.485194218979934551e-05,1.454561632107970785e-05
1.393651079010467788e-05,1.333967085859421850e-05
1.309047617683096414e-05,1.273749125572889277e-05
1.222069300181094857e-05,1.170297664908229339e-05
1.145297462806010138e-05,1.104076643580251684e-05
1.066911656550896167e-05,1.015978404132335455e-05
9.875910429420905280e-06,9.413926884827463406e-06
9.152594503287188543e-06,8.711741378187553341e-06
8.499574188878638155e-06,8.054712250344338702e-06
7.768431891067442230e-06,7.826301041808952675e-06
7.164354019243449691e-06,6.816311712404982114e-06
